time,deterministic_pinn,stochastic_pinn_drift,sde_mean,sde_lower,sde_upper
152.82944,51.660637,51.73291,51.564728,46.240852,57.16254
153.39131,51.672962,51.7433,51.56905,46.243683,57.17617
153.95317,51.685074,51.75351,51.573112,46.2311,57.13839
154.51505,51.69697,51.763542,51.588688,46.280846,57.15529
155.07692,51.708668,51.773407,51.593033,46.300392,57.14557
155.6388,51.720165,51.783096,51.599583,46.28679,57.135887
156.20067,51.731464,51.792625,51.606937,46.2798,57.17119
156.76254,51.742573,51.801994,51.61806,46.250095,57.16906
157.32442,51.75349,51.811203,51.63215,46.28379,57.17358
157.88629,51.76423,51.820263,51.636463,46.251225,57.177612
158.44817,51.774784,51.82917,51.64492,46.244595,57.166664
159.01004,51.785168,51.837936,51.660587,46.26382,57.230324
159.5719,51.795376,51.84655,51.661854,46.25607,57.21863
160.13377,51.80542,51.855034,51.675163,46.267258,57.234707
160.69565,51.815296,51.863377,51.6752,46.2793,57.2497
161.25752,51.825016,51.87159,51.675682,46.307518,57.23259
161.8194,51.834576,51.879673,51.679882,46.271446,57.23361
162.38127,51.843983,51.887627,51.685883,46.302185,57.266075
162.94315,51.853237,51.895454,51.689266,46.311054,57.221317
163.50502,51.862347,51.903175,51.694088,46.33802,57.28867
164.0669,51.87132,51.910763,51.7015,46.33736,57.25542
164.62877,51.880146,51.918243,51.712227,46.29564,57.24576
165.19063,51.88884,51.92561,51.72445,46.304806,57.29207
165.7525,51.897396,51.932865,51.73057,46.317703,57.272907
166.31438,51.905827,51.940018,51.738895,46.32339,57.29109
166.87625,51.914127,51.947063,51.74319,46.323414,57.366566
167.43813,51.922306,51.954002,51.742546,46.353767,57.344296
168.0,51.930367,51.96085,51.742203,46.313232,57.331757
